turn,fromRank,fromFile,toRank,toFile,timeSpent,win
48,3,3,4,5,13,1
70,4,5,3,3,23,1
76,3,3,1,4,20,1
78,1,4,0,2,20,1
82,0,2,2,1,21,1
84,2,1,3,3,21,1
6,7,1,6,3,3,1
12,6,3,4,4,4,1
18,7,6,5,5,9,1
2,7,6,5,5,1,1
12,7,1,5,2,6,1
22,5,2,4,4,8,1
28,5,5,4,3,13,1
90,4,3,5,5,38,1
100,5,5,7,4,27,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
30,4,0,3,2,10,1
50,5,5,3,4,23,1
6,7,1,5,2,3,1
8,7,6,5,5,4,1
16,5,5,6,3,6,1
20,6,3,5,1,6,1
32,5,1,3,2,11,1
38,5,2,3,1,17,1
12,7,1,6,3,6,1
16,7,6,5,5,8,1
18,5,5,3,4,5,1
20,6,3,5,5,7,1
22,5,5,4,3,6,1
26,4,3,5,5,7,1
30,5,5,4,3,8,1
34,4,3,6,4,9,1
36,6,4,4,3,9,1
38,4,3,5,5,10,1
52,5,5,3,4,16,1
54,3,4,5,3,22,1
60,5,3,6,5,16,1
66,6,5,5,3,18,1
4,7,1,5,2,2,1
12,7,6,6,4,6,1
30,5,2,4,4,14,1
40,6,4,4,3,17,1
44,4,3,2,4,12,1
4,7,6,5,5,2,1
18,5,5,4,7,8,1
22,7,1,6,3,11,1
24,4,7,2,6,7,1
30,6,3,5,1,9,1
42,5,1,3,2,13,1
10,7,6,5,5,5,1
30,7,1,6,3,15,1
32,6,3,4,4,8,1
40,5,5,6,3,17,1
50,4,4,5,2,17,1
52,6,3,4,4,16,1
68,5,2,3,3,21,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
34,4,0,5,2,12,1
36,5,5,4,3,16,1
38,5,2,6,4,10,1
40,6,4,4,3,10,1
42,4,3,5,5,12,1
52,5,5,3,4,15,1
56,3,4,4,6,15,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
20,5,2,3,3,9,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
22,5,2,3,3,10,1
28,3,3,2,1,8,1
2,7,6,5,5,1,1
12,7,1,5,2,6,1
16,5,5,4,3,7,1
18,4,3,3,1,5,1
20,5,2,4,4,7,1
26,4,4,2,5,8,1
30,3,1,2,3,10,1
36,2,3,0,2,10,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
22,5,2,3,3,10,1
28,5,5,4,3,12,1
8,7,6,5,5,4,1
14,7,1,6,3,7,1
16,5,5,4,3,6,1
24,6,3,5,5,8,1
38,5,5,4,7,13,1
44,4,7,3,5,12,1
8,7,6,5,5,4,1
12,7,1,5,2,6,1
2,7,6,5,5,1,1
20,5,5,6,3,9,1
22,7,1,5,2,11,1
24,6,3,4,2,7,1
28,5,2,6,4,8,1
32,6,4,4,5,9,1
4,7,1,5,2,2,1
10,5,2,4,0,4,1
12,4,0,2,1,3,1
18,7,6,6,4,9,1
34,6,4,4,5,12,1
12,7,6,5,5,6,1
16,7,1,5,2,8,1
22,5,2,4,0,7,1
26,4,0,2,1,7,1
38,5,5,3,4,16,1
8,7,6,5,5,4,1
24,5,5,7,6,10,1
34,7,6,6,4,11,1
40,6,4,5,6,11,1
50,7,1,6,3,25,1
58,5,6,3,5,19,1
60,3,5,2,7,15,1
62,2,7,4,6,16,1
68,4,6,3,4,18,1
76,3,4,5,3,21,1
80,5,3,6,5,21,1
84,6,5,4,4,22,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
30,4,0,5,2,10,1
34,5,2,7,3,9,1
40,7,3,6,1,11,1
44,6,1,4,2,12,1
62,5,5,4,7,29,1
78,4,7,5,5,23,1
82,5,5,3,6,21,1
84,4,2,2,1,31,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,5,6,3,7,1
20,6,3,5,1,5,1
26,5,2,4,0,12,1
28,4,0,3,2,7,1
30,5,1,3,2,10,1
44,3,2,2,4,14,1
12,7,1,6,3,6,1
14,7,6,5,5,7,1
18,5,5,4,3,5,1
20,4,3,3,1,5,1
32,6,3,4,2,13,1
54,4,2,6,3,19,1
56,6,3,5,5,14,1
86,5,5,7,4,29,1
88,7,4,5,3,22,1
92,5,3,7,2,24,1
96,7,2,6,0,25,1
100,6,0,4,1,26,1
102,4,1,6,0,26,1
104,6,0,4,1,26,1
114,4,1,2,2,31,1
116,2,2,0,3,29,1
8,7,6,5,5,4,1
18,7,1,5,2,9,1
20,5,2,4,0,5,1
24,5,5,6,3,10,1
28,4,0,3,2,9,1
52,6,3,4,2,20,1
14,7,6,5,5,7,1
16,7,1,5,2,8,1
28,5,5,3,4,10,1
32,3,4,4,2,9,1
34,4,2,5,4,9,1
40,5,4,3,3,11,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
32,5,5,3,4,14,1
60,4,0,3,2,25,1
62,3,2,1,1,16,1
72,1,1,2,3,20,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
24,4,0,5,2,7,1
44,5,5,4,3,20,1
8,7,6,5,5,4,1
16,7,1,5,2,8,1
18,5,2,3,3,5,1
42,5,5,4,7,19,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
36,5,5,3,6,16,1
42,4,0,6,1,16,1
44,6,1,4,2,11,1
4,7,1,5,2,2,1
6,7,6,5,5,3,1
8,5,5,3,4,2,1
10,3,4,5,3,3,1
14,5,3,4,5,4,1
16,4,5,3,3,4,1
4,7,1,5,2,2,1
12,7,6,5,5,6,1
18,5,5,3,4,6,1
22,3,4,4,2,6,1
4,7,1,5,2,2,1
10,7,6,5,5,5,1
16,5,2,4,0,7,1
18,5,5,7,4,6,1
24,4,0,5,2,8,1
28,7,4,5,3,9,1
30,5,3,3,2,8,1
42,5,2,7,3,15,1
54,7,3,5,2,16,1
62,5,2,7,3,17,1
64,7,3,6,5,16,1
76,6,5,7,3,22,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,2,4,0,8,1
30,4,0,5,2,10,1
42,5,2,3,3,13,1
46,5,5,6,3,21,1
82,6,3,4,2,29,1
84,4,2,5,4,21,1
94,5,4,3,3,26,1
102,3,3,5,4,27,1
138,5,4,4,6,43,1
140,4,6,6,7,35,1
142,6,7,5,5,36,1
144,5,5,3,6,36,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
20,5,5,4,3,8,1
32,4,3,3,1,11,1
34,5,2,3,3,16,1
42,3,1,2,3,13,1
44,2,3,0,4,11,1
4,7,1,5,2,2,1
8,7,6,5,5,4,1
18,5,5,6,3,7,1
20,6,3,5,1,5,1
